client_phone,session_id,sender_type,type,message,content,created_at,is_mock
5492612780568,5492612780568,ai,ai,"Hola Parrilla La Tradición Familiar, paso a revisar tu pedido P-00099 de Set parrilero pala y atizadorEl Mansero.","Hola Parrilla La Tradición Familiar, paso a revisar tu pedido P-00099 de Set parrilero pala y atizadorEl Mansero.",2026-06-15 09:36:42,true
5492612780568,5492612780568,human,human,"Buen dia, eso fue lo que pedimos el otro dia?","Buen dia, eso fue lo que pedimos el otro dia?",2026-06-15 09:38:11,true
5492612780568,5492612780568,ai,ai,Te confirmo que el pedido P-00099 fue registrado correctamente por 312380.75.,Te confirmo que el pedido P-00099 fue registrado correctamente por 312380.75.,2026-06-15 09:39:07,true
5492612780568,5492612780568,ai,ai,Quedo atento por cualquier otra duda. Gracias.,Quedo atento por cualquier otra duda. Gracias.,2026-06-15 09:40:16,true
5492612928724,5492612928724,ai,ai,"Hola Restaurante El Gran Asado, paso a revisar tu pedido P-00123 de DV Lesplorator La Rioja.","Hola Restaurante El Gran Asado, paso a revisar tu pedido P-00123 de DV Lesplorator La Rioja.",2026-06-16 11:36:42,true
5492612928724,5492612928724,human,human,"Buen dia, eso fue lo que pedimos el otro dia?","Buen dia, eso fue lo que pedimos el otro dia?",2026-06-16 11:37:27,true
5492612928724,5492612928724,ai,ai,Te confirmo que el pedido P-00123 fue registrado correctamente por 107100.00.,Te confirmo que el pedido P-00123 fue registrado correctamente por 107100.00.,2026-06-16 11:38:00,true
5492612928724,5492612928724,human,human,"Perfecto, gracias.","Perfecto, gracias.",2026-06-16 11:39:33,true
5492612928724,5492612928724,ai,ai,Quedo atento por cualquier otra duda. Gracias.,Quedo atento por cualquier otra duda. Gracias.,2026-06-16 11:40:29,true
5492614053074,5492614053074,ai,ai,"Hola Carnicería El Buen Corte, vi que tenes un pedido abierto por Etcétera Tocai Vista Flores y queria ayudarte a cerrarlo.","Hola Carnicería El Buen Corte, vi que tenes un pedido abierto por Etcétera Tocai Vista Flores y queria ayudarte a cerrarlo.",2026-06-16 08:36:42,true
5492614053074,5492614053074,human,human,"Buen dia, pasame detalle de ese pedido por favor.","Buen dia, pasame detalle de ese pedido por favor.",2026-06-16 08:38:20,true
5492614053074,5492614053074,ai,ai,Te confirmo que el pedido P-00156 sigue en curso por un total de 119200.00. Si queres te lo dejo cerrado hoy.,Te confirmo que el pedido P-00156 sigue en curso por un total de 119200.00. Si queres te lo dejo cerrado hoy.,2026-06-16 08:38:56,true
5492614053074,5492614053074,human,human,"Dale, mandamelo asi.","Dale, mandamelo asi.",2026-06-16 08:40:14,true
5492614053074,5492614053074,ai,ai,"Genial, te lo dejo confirmado y en preparacion.","Genial, te lo dejo confirmado y en preparacion.",2026-06-16 08:41:31,true
5492615021286,5492615021286,ai,ai,"Hola Parrilla El Gran Asador, paso a revisar tu pedido P-00112 de Filet de merluza Fazzio.","Hola Parrilla El Gran Asador, paso a revisar tu pedido P-00112 de Filet de merluza Fazzio.",2026-06-14 09:36:42,true
5492615021286,5492615021286,human,human,"Buen dia, eso fue lo que pedimos el otro dia?","Buen dia, eso fue lo que pedimos el otro dia?",2026-06-14 09:38:31,true
5492615021286,5492615021286,ai,ai,Te confirmo que el pedido P-00112 fue registrado correctamente por 262940.00.,Te confirmo que el pedido P-00112 fue registrado correctamente por 262940.00.,2026-06-14 09:39:19,true
5492615021286,5492615021286,ai,ai,Quedo atento por cualquier otra duda. Gracias.,Quedo atento por cualquier otra duda. Gracias.,2026-06-14 09:40:02,true
